cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
12323259,"Rua Acadêmica Maria Nilce Lencioni Senne","","Condomínio Residencial Fogaça",4595,26,-23.2987827,-45.9662542
12323361,"Rua Paulo Henrique de Oliveira","","Bandeira Branca",4595,26,-23.335442,-46.001042
12323362,"Rua Doutora Thalita Monique Toledo Soares de Morais","","Bandeira Branca",4595,26,-23.3361204,-46.0009788
12323363,"Rua Mauro Matheus Moreira Nascimento Silva","","Bandeira Branca",4595,26,-23.336478,-45.9996131
12323364,"Rua Marina de Paula Costa","","Bandeira Branca",4595,26,-23.3368129,-46.0007494
12323370,"Rua Luiz Gonzaga Rosa da Silva","","Bandeira Branca",4595,26,-23.3272844,-45.9953913
12323380,"Rua Raphael José Ribeiro","","Bandeira Branca",4595,26,-23.3244096,-45.9918113
12323390,"Rua Fidêncio José de Souza","","Bandeira Branca",4595,26,-23.3234974,-45.9922969
12323400,"Rua Sargento Felício Alves de Araújo","","Bandeira Branca",4595,26,-23.3253304,-45.993328
12323410,"Rua Paulo Vicente da Silva","","Bandeira Branca",4595,26,-23.325712,-45.9940122
12323420,"Rua Benedito Soares de Moraes","","Bandeira Branca",4595,26,-23.315867,-46.0152756
12323440,"Rua Antônio Soares Brandão Filho","","Bandeira Branca",4595,26,-23.3280265,-45.9957729
12323450,"Rua Odila Nogueira Moreira","","Bandeira Branca",4595,26,-23.3294193,-45.9963647
12323460,"Rua José Carlos Galvão","","Bandeira Branca",4595,26,-23.3294193,-45.9963647
12323470,"Rua Oswaldo Tursi","","Bandeira Branca",4595,26,-23.3283393,-45.9964362
12323472,"Rua Renato Turci","","Bandeira Branca",4595,26,-23.3253304,-45.993328
12323480,"Rua Nelson Ramalho","","Bandeira Branca",4595,26,-23.3253304,-45.993328
12323490,"Rua Abílio Pinto Pereira","","Bandeira Branca",4595,26,-23.3304635,-45.9963334
12323610,"Rua Rosaria Maria da Conceição","","Bandeira Branca",4595,26,-23.3318718,-45.9970213
12323620,"Rua Joaquim Simões Pires","","Bandeira Branca",4595,26,-23.3319346,-45.9986836
12323630,"Rua Chafic Mogames","","Bandeira Branca",4595,26,-23.3324198,-45.9979736
12323640,"Rua Israel Albino","","Bandeira Branca",4595,26,-23.3330148,-45.9976501
12323650,"Rua Manoel Guardia Ruiz","","Bandeira Branca",4595,26,-23.3353197,-45.9977471
12323660,"Rua Innocêncio Teodoro de Siqueira","","Bandeira Branca",4595,26,-23.3253304,-45.993328
12323670,"Rua Bolívar Darcy de Moraes","","Bandeira Branca",4595,26,-23.3352962,-45.9985489
12323680,"Rua Mário Siqueira Cardoso","","Bandeira Branca",4595,26,-23.3253304,-45.993328
12323690,"Rua Edis Rigo","","Bandeira Branca",4595,26,-23.3360624,-45.9988677
12323700,"Estrada Fazenda Ivone","","Bandeira Branca",4595,26,-23.3366879,-46.0112033
12323710,"Estrada Municipal Bom Jesus","","Bandeira Branca",4595,26,-23.3360047,-45.9939461
12323720,"Rodovia General Euryale de Jesus Zerbine","- até 2999/3000","Bandeira Branca",4595,26,-23.3253304,-45.993328
