cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
29165789,"Alameda das Violetas","","Valparaíso",9267,8,-20.194699,-40.2610148
29165791,"Avenida Guarapari","","Valparaíso",9267,8,-20.2042252,-40.2636529
29165793,"Rua Santos Dumont","","Valparaíso",9267,8,-20.1963864,-40.2591985
29165795,"Rua Aloízio Gonçalves Frois","","Valparaíso",9267,8,-20.198184,-40.2605871
29165797,"Rua Itaúnas","","Valparaíso",9267,8,-20.1978066,-40.2602846
29165798,"Avenida Anchieta","","Valparaíso",9267,8,-20.1975544,-40.2606051
29165803,"Alameda das Hortências","","Valparaíso",9267,8,-20.1945543,-40.2621986
29165806,"Rua Afonso Cláudio","","Valparaíso",9267,8,-20.1957593,-40.2617139
29165807,"Rua Guaçuí","","Valparaíso",9267,8,-20.1958673,-40.2599458
29165809,"Avenida Piuma","","Valparaíso",9267,8,-20.1933229,-40.2277276
29165810,"Rua Alegre","","Valparaíso",9267,8,-20.1966748,-40.2601663
29165813,"Rua Carapebus","","Valparaíso",9267,8,-20.198873,-40.2612641
29165817,"Rua Santa Cruz","","Valparaíso",9267,8,-20.2004239,-40.2645672
29165818,"Rua Nova Almeida","","Valparaíso",9267,8,-20.2005643,-40.2640537
29165819,"Rua Jacaraípe","","Valparaíso",9267,8,-20.2006036,-40.2635524
29165821,"Rua Itapoã","","Valparaíso",9267,8,-20.2009642,-40.2625524
29165822,"Rua Setiba","","Valparaíso",9267,8,-20.2002444,-40.2619912
29165825,"Rua Anchieta","","Valparaíso",9267,8,-20.2015778,-40.2638577
29165827,"Rua Marataízes","","Valparaíso",9267,8,-20.199119,-40.2650172
29165828,"Rua Guriri","","Valparaíso",9267,8,-20.1974644,-40.259785
29165830,"Rua Manguinhos","","Valparaíso",9267,8,-20.2007188,-40.2630434
29165900,"Rua Afonso Cláudio 30","","Valparaíso",9267,8,-20.1973323,-40.2609827
29165901,"Rua Afonso Cláudio 142","","Valparaíso",9267,8,-20.1973323,-40.2609827
29165903,"Rua Marataízes 34","","Valparaíso",9267,8,-20.1989668,-40.2639192
29165904,"Rua Santos Dumont 10","","Valparaíso",9267,8,-20.1973323,-40.2609827
29165915,"Rua da Aldeia 220","","Parque Residencial Laranjeiras",9267,8,-20.1982969,-40.2552345
29165925,"Rua da Aldeia 216","","Parque Residencial Laranjeiras",9267,8,-20.1982969,-40.2552345
29165970,"Avenida Central 1319","","Parque Residencial Laranjeiras",9267,8,-20.1973223,-40.2579583
29165973,"Rua Coelho Neto, s/n Loja 11","","Parque Residencial Laranjeiras",9267,8,-20.1982969,-40.2552345
29166000,"Rua Itajubá","","Barcelona",9267,8,-20.1727056,-40.2555033
29166005,"Avenida Região Nordeste","","Barcelona",9267,8,-20.1692837,-40.253625
29166010,"Rua Sobral","","Barcelona",9267,8,-20.1720434,-40.2615484
29166012,"Rua Guarabira","","Barcelona",9267,8,-20.1722839,-40.2610663
29166014,"Rua Canindé","","Barcelona",9267,8,-20.172001,-40.2605777
29166020,"Rua Afonso Cláudio","","Barcelona",9267,8,-20.1751312,-40.2613538
29166021,"Rua Crateús","","Barcelona",9267,8,-20.1719944,-40.2601107
29166022,"Rua Campina Grande","","Barcelona",9267,8,-20.1719087,-40.2596264
29166023,"Rua Juazeiro","","Barcelona",9267,8,-20.171535,-40.2591564
29166024,"Rua Arco Verde","","Barcelona",9267,8,-20.1716172,-40.2586672
29166025,"Rua Viana","","Barcelona",9267,8,-20.1749059,-40.262308
29166026,"Avenida Petrolina","","Barcelona",9267,8,-20.1699803,-40.2571433
29166027,"Avenida Olinda","","Barcelona",9267,8,-20.1711066,-40.2570938
29166028,"Avenida Ilhéus","","Barcelona",9267,8,-20.1704177,-40.2553585
29166029,"Rua Timbaúba","","Barcelona",9267,8,-20.170428,-40.2563826
29166031,"Rua Limoeiro","","Barcelona",9267,8,-20.1708701,-40.2560702
29166032,"Rua Caruaru","","Barcelona",9267,8,-20.1713309,-40.2564148
29166033,"Rua Jaboatão","","Barcelona",9267,8,-20.171782,-40.2559995
29166034,"Rua Pedreiras","","Barcelona",9267,8,-20.168065,-40.254604
29166035,"Avenida Londrina","","Barcelona",9267,8,-20.171286,-40.2512922
29166040,"Avenida São Mateus","","Barcelona",9267,8,-20.173306,-40.260302
29166042,"Rua Parnaíba","","Barcelona",9267,8,-20.1683559,-40.2545983
29166043,"Rua Mossoró","","Barcelona",9267,8,-20.1682231,-40.2541202
29166044,"Avenida Itabuna","","Barcelona",9267,8,-20.1685841,-40.2545937
29166045,"Rua Toledo","","Barcelona",9267,8,-20.171024,-40.2524158
29166046,"Rua Alagoinhas","","Barcelona",9267,8,-20.1695185,-40.2546718
29166047,"Rua Candeias","","Barcelona",9267,8,-20.1699547,-40.2543411
29166048,"Rua Porto Seguro","","Barcelona",9267,8,-20.1704092,-40.2546328
29166049,"Rua Senhor do Bonfim","","Barcelona",9267,8,-20.1708549,-40.2543194
29166050,"Rua Colatina","","Barcelona",9267,8,-20.1737687,-40.2613412
29166051,"Rua Jequié","","Barcelona",9267,8,-20.1713138,-40.2546166
29166052,"Rua Vitória da Conquista","","Barcelona",9267,8,-20.1717695,-40.254279
29166053,"Rua Cascavel","","Barcelona",9267,8,-20.1706579,-40.2517839
29166054,"Rua Paranaguá","","Barcelona",9267,8,-20.1717264,-40.2503052
29166055,"Rua Jundiaí","","Barcelona",9267,8,-20.1758483,-40.2459778
29166056,"Rua Ponta Grossa","","Barcelona",9267,8,-20.1712837,-40.2506433
29166057,"Rua Campo Mourão","","Barcelona",9267,8,-20.1708274,-40.2502843
